r,n,g,nu_minus,cutoff_gain,r_c
0.0,1,1.3,1.6,2.0,0.3095196042031118
0.006012024048096192,1,1.3,1.5844623374752504,2.0,0.3095196042031118
0.012024048096192385,1,1.3,1.5691103818402954,2.0,0.3095196042031118
0.018036072144288578,1,1.3,1.5539419135174564,2.0,0.3095196042031118
0.02404809619238477,1,1.3,1.538954739457554,2.0,0.3095196042031118
0.03006012024048096,1,1.3,1.5241466928228382,2.0,0.3095196042031118
0.036072144288577156,1,1.3,1.5095156326737076,2.0,0.3095196042031118
0.04208416833667335,1,1.3,1.4950594436591744,2.0,0.3095196042031118
0.04809619238476954,1,1.3,1.4807760357110273,2.0,0.3095196042031118
0.05410821643286573,1,1.3,1.4666633437416505,2.0,0.3095196042031118
0.06012024048096192,1,1.3,1.4527193273454553,2.0,0.3095196042031118
0.06613226452905811,1,1.3,1.4389419705038782,2.0,0.3095196042031118
0.07214428857715431,1,1.3,1.425329281293907,2.0,0.3095196042031118
0.0781563126252505,1,1.3,1.4118792916000886,2.0,0.3095196042031118
0.0841683366733467,1,1.3,1.398590056829981,2.0,0.3095196042031118
0.09018036072144288,1,1.3,1.3854596556330043,2.0,0.3095196042031118
0.09619238476953908,1,1.3,1.372486189622653,2.0,0.3095196042031118
0.10220440881763528,1,1.3,1.3596677831020287,2.0,0.3095196042031118
0.10821643286573146,1,1.3,1.3470025827926526,2.0,0.3095196042031118
0.11422845691382766,1,1.3,1.3344887575665192,2.0,0.3095196042031118
0.12024048096192384,1,1.3,1.322124498181353,2.0,0.3095196042031118
0.12625250501002003,1,1.3,1.3099080170190291,2.0,0.3095196042031118
0.13226452905811623,1,1.3,1.2978375478271207,2.0,0.3095196042031118
0.13827655310621242,1,1.3,1.2859113454635347,2.0,0.3095196042031118
0.14428857715430862,1,1.3,1.2741276856442008,2.0,0.3095196042031118
0.15030060120240482,1,1.3,1.2624848646937736,2.0,0.3095196042031118
0.156312625250501,1,1.3,1.2509811992993192,2.0,0.3095196042031118
0.1623246492985972,1,1.3,1.2396150262669385,2.0,0.3095196042031118
0.1683366733466934,1,1.3,1.2283847022813084,2.0,0.3095196042031118
0.1743486973947896,1,1.3,1.2172886036680874,2.0,0.3095196042031118
0.18036072144288576,1,1.3,1.2063251261591694,2.0,0.3095196042031118
0.18637274549098196,1,1.3,1.1954926846607368,2.0,0.3095196042031118
0.19238476953907815,1,1.3,1.18478971302409,2.0,0.3095196042031118
0.19839679358717435,1,1.3,1.1742146638192144,2.0,0.3095196042031118
0.20440881763527055,1,1.3,1.1637660081110524,2.0,0.3095196042031118
0.21042084168336672,1,1.3,1.1534422352384526,2.0,0.3095196042031118
0.21643286573146292,1,1.3,1.143241852595758,2.0,0.3095196042031118
0.22244488977955912,1,1.3,1.133163385417006,2.0,0.3095196042031118
0.22845691382765532,1,1.3,1.123205376562708,2.0,0.3095196042031118
0.2344689378757515,1,1.3,1.1133663863091767,2.0,0.3095196042031118
0.24048096192384769,1,1.3,1.103644992140371,2.0,0.3095196042031118
0.24649298597194388,1,1.3,1.0940397885422308,2.0,0.3095196042031118
0.25250501002004005,1,1.3,1.0845493867994673,2.0,0.3095196042031118
0.25851703406813625,1,1.3,1.075172414794783,2.0,0.3095196042031118
0.26452905811623245,1,1.3,1.0659075168104932,2.0,0.3095196042031118
0.27054108216432865,1,1.3,1.0567533533325162,2.0,0.3095196042031118
0.27655310621242485,1,1.3,1.0477086008567058,2.0,0.3095196042031118
0.28256513026052105,1,1.3,1.0387719516975027,2.0,0.3095196042031118
0.28857715430861725,1,1.3,1.029942113798867,2.0,0.3095196042031118
0.29458917835671344,1,1.3,1.021217810547475,2.0,0.3095196042031118
0.30060120240480964,1,1.3,1.0125977805881479,2.0,0.3095196042031118
0.3066132264529058,1,1.3,1.004080777641483,2.0,0.3095196042031118
0.312625250501002,1,1.3,0.9956655703236701,2.0,0.3095196042031118
0.3186372745490982,1,1.3,0.9873509419684574,2.0,0.3095196042031118
0.3246492985971944,1,1.3,0.9791356904512459,2.0,0.3095196042031118
0.3306613226452906,1,1.3,0.9710186280152888,2.0,0.3095196042031118
0.3366733466933868,1,1.3,0.9629985810999642,2.0,0.3095196042031118
0.342685370741483,1,1.3,0.9550743901711033,2.0,0.3095196042031118
0.3486973947895792,1,1.3,0.9472449095533456,2.0,0.3095196042031118
0.35470941883767537,1,1.3,0.9395090072644979,2.0,0.3095196042031118
0.3607214428857715,1,1.3,0.9318655648518723,2.0,0.3095196042031118
0.3667334669338677,1,1.3,0.924313477230581,2.0,0.3095196042031118
0.3727454909819639,1,1.3,0.9168516525237642,2.0,0.3095196042031118
0.3787575150300601,1,1.3,0.909479011904727,2.0,0.3095196042031118
0.3847695390781563,1,1.3,0.9021944894409627,2.0,0.3095196042031118
0.3907815631262525,1,1.3,0.8949970319400414,2.0,0.3095196042031118
0.3967935871743487,1,1.3,0.8878855987973399,2.0,0.3095196042031118
0.4028056112224449,1,1.3,0.8808591618455911,2.0,0.3095196042031118
0.4088176352705411,1,1.3,0.8739167052062328,2.0,0.3095196042031118
0.41482965931863724,1,1.3,0.8670572251425323,2.0,0.3095196042031118
0.42084168336673344,1,1.3,0.8602797299144664,2.0,0.3095196042031118
0.42685370741482964,1,1.3,0.8535832396353364,2.0,0.3095196042031118
0.43286573146292584,1,1.3,0.8469667861300968,2.0,0.3095196042031118
0.43887775551102204,1,1.3,0.8404294127953765,2.0,0.3095196042031118
0.44488977955911824,1,1.3,0.833970174461174,2.0,0.3095196042031118
0.45090180360721444,1,1.3,0.8275881372542053,2.0,0.3095196042031118
0.45691382765531063,1,1.3,0.8212823784628844,2.0,0.3095196042031118
0.46292585170340683,1,1.3,0.8150519864039188,2.0,0.3095196042031118
0.468937875751503,1,1.3,0.808896060290499,2.0,0.3095196042031118
0.4749498997995992,1,1.3,0.8028137101020616,2.0,0.3095196042031118
0.48096192384769537,1,1.3,0.796804056455613,2.0,0.3095196042031118
0.48697394789579157,1,1.3,0.790866230478587,2.0,0.3095196042031118
0.49298597194388777,1,1.3,0.7849993736832236,2.0,0.3095196042031118
0.49899799599198397,1,1.3,0.7792026378424506,2.0,0.3095196042031118
0.5050100200400801,1,1.3,0.7734751848672462,2.0,0.3095196042031118
0.5110220440881763,1,1.3,0.7678161866854687,2.0,0.3095196042031118
0.5170340681362725,1,1.3,0.7622248251221349,2.0,0.3095196042031118
0.5230460921843687,1,1.3,0.7567002917811276,2.0,0.3095196042031118
0.5290581162324649,1,1.3,0.7512417879283201,2.0,0.3095196042031118
0.5350701402805611,1,1.3,0.7458485243760933,2.0,0.3095196042031118
0.5410821643286573,1,1.3,0.7405197213692367,2.0,0.3095196042031118
0.5470941883767535,1,1.3,0.7352546084722122,2.0,0.3095196042031118
0.5531062124248497,1,1.3,0.7300524244577635,2.0,0.3095196042031118
0.5591182364729459,1,1.3,0.7249124171968595,2.0,0.3095196042031118
0.5651302605210421,1,1.3,0.7198338435499515,2.0,0.3095196042031118
0.5711422845691383,1,1.3,0.7148159692595302,2.0,0.3095196042031118
0.5771543086172345,1,1.3,0.7098580688439675,2.0,0.3095196042031118
0.5831663326653307,1,1.3,0.7049594254926266,2.0,0.3095196042031118
0.5891783567134269,1,1.3,0.7001193309622259,2.0,0.3095196042031118
0.5951903807615231,1,1.3,0.6953370854744415,2.0,0.3095196042031118
0.6012024048096193,1,1.3,0.6906119976147338,2.0,0.3095196042031118
0.6072144288577154,1,1.3,0.685943384232383,2.0,0.3095196042031118
0.6132264529058116,1,1.3,0.6813305703417195,2.0,0.3095196042031118
0.6192384769539078,1,1.3,0.676772889024535,2.0,0.3095196042031118
0.625250501002004,1,1.3,0.6722696813336595,2.0,0.3095196042031118
0.6312625250501002,1,1.3,0.6678202961976913,2.0,0.3095196042031118
0.6372745490981964,1,1.3,0.6634240903268658,2.0,0.3095196042031118
0.6432865731462926,1,1.3,0.6590804281200481,2.0,0.3095196042031118
0.6492985971943888,1,1.3,0.6547886815728389,2.0,0.3095196042031118
0.655310621242485,1,1.3,0.6505482301867777,2.0,0.3095196042031118
0.6613226452905812,1,1.3,0.6463584608796311,2.0,0.3095196042031118
0.6673346693386774,1,1.3,0.6422187678967547,2.0,0.3095196042031118
0.6733466933867736,1,1.3,0.6381285527235121,2.0,0.3095196042031118
0.6793587174348698,1,1.3,0.6340872239987428,2.0,0.3095196042031118
0.685370741482966,1,1.3,0.6300941974292636,2.0,0.3095196042031118
0.6913827655310621,1,1.3,0.6261488957053913,2.0,0.3095196042031118
0.6973947895791583,1,1.3,0.6222507484174759,2.0,0.3095196042031118
0.7034068136272545,1,1.3,0.6183991919734306,2.0,0.3095196042031118
0.7094188376753507,1,1.3,0.614593669517249,2.0,0.3095196042031118
0.7154308617234468,1,1.3,0.610833630848494,2.0,0.3095196042031118
0.721442885771543,1,1.3,0.6071185323427505,2.0,0.3095196042031118
0.7274549098196392,1,1.3,0.6034478368730289,2.0,0.3095196042031118
0.7334669338677354,1,1.3,0.599821013732107,2.0,0.3095196042031118
0.7394789579158316,1,1.3,0.596237538555801,2.0,0.3095196042031118
0.7454909819639278,1,1.3,0.5926968932471529,2.0,0.3095196042031118
0.751503006012024,1,1.3,0.5891985659015244,2.0,0.3095196042031118
0.7575150300601202,1,1.3,0.5857420507325863,2.0,0.3095196042031118
0.7635270541082164,1,1.3,0.5823268479991919,2.0,0.3095196042031118
0.7695390781563126,1,1.3,0.5789524639331244,2.0,0.3095196042031118
0.7755511022044088,1,1.3,0.5756184106677088,2.0,0.3095196042031118
0.781563126252505,1,1.3,0.572324206167276,2.0,0.3095196042031118
0.7875751503006012,1,1.3,0.5690693741574702,2.0,0.3095196042031118
0.7935871743486974,1,1.3,0.5658534440563898,2.0,0.3095196042031118
0.7995991983967936,1,1.3,0.5626759509065509,2.0,0.3095196042031118
0.8056112224448898,1,1.3,0.5595364353076635,2.0,0.3095196042031118
0.811623246492986,1,1.3,0.556434443350212,2.0,0.3095196042031118
0.8176352705410822,1,1.3,0.5533695265498291,2.0,0.3095196042031118
0.8236472945891784,1,1.3,0.5503412417824547,2.0,0.3095196042031118
0.8296593186372745,1,1.3,0.5473491512202682,2.0,0.3095196042031118
0.8356713426853707,1,1.3,0.5443928222683883,2.0,0.3095196042031118
0.8416833667334669,1,1.3,0.5414718275023287,2.0,0.3095196042031118
0.8476953907815631,1,1.3,0.5385857446062012,2.0,0.3095196042031118
0.8537074148296593,1,1.3,0.5357341563116572,2.0,0.3095196042031118
0.8597194388777555,1,1.3,0.5329166503375594,2.0,0.3095196042031118
0.8657314629258517,1,1.3,0.5301328193303747,2.0,0.3095196042031118
0.8717434869739479,1,1.3,0.527382260805279,2.0,0.3095196042031118
0.8777555110220441,1,1.3,0.5246645770879658,2.0,0.3095196042031118
0.8837675350701403,1,1.3,0.5219793752571517,2.0,0.3095196042031118
0.8897795591182365,1,1.3,0.5193262670877667,2.0,0.3095196042031118
0.8957915831663327,1,1.3,0.516704868994826,2.0,0.3095196042031118
0.9018036072144289,1,1.3,0.5141148019779709,2.0,0.3095196042031118
0.9078156312625251,1,1.3,0.511555691566673,2.0,0.3095196042031118
0.9138276553106213,1,1.3,0.5090271677660938,2.0,0.3095196042031118
0.9198396793587175,1,1.3,0.5065288650035908,2.0,0.3095196042031118
0.9258517034068137,1,1.3,0.5040604220758635,2.0,0.3095196042031118
0.9318637274549099,1,1.3,0.5016214820967306,2.0,0.3095196042031118
0.937875751503006,1,1.3,0.49921169244553165,2.0,0.3095196042031118
0.9438877755511021,1,1.3,0.49683070471614477,2.0,0.3095196042031118
0.9498997995991983,1,1.3,0.4944781746666155,2.0,0.3095196042031118
0.9559118236472945,1,1.3,0.49215376216938533,2.0,0.3095196042031118
0.9619238476953907,1,1.3,0.48985713116211693,2.0,0.3095196042031118
0.9679358717434869,1,1.3,0.487587949599106,2.0,0.3095196042031118
0.9739478957915831,1,1.3,0.4853458894032747,2.0,0.3095196042031118
0.9799599198396793,1,1.3,0.4831306264187381,2.0,0.3095196042031118
0.9859719438877755,1,1.3,0.48094184036393783,2.0,0.3095196042031118
0.9919839679358717,1,1.3,0.4787792147853363,2.0,0.3095196042031118
0.9979959919839679,1,1.3,0.47664243701166376,2.0,0.3095196042031118
1.0040080160320641,1,1.3,0.4745311981087125,2.0,0.3095196042031118
1.0100200400801602,1,1.3,0.47244519283467146,2.0,0.3095196042031118
1.0160320641282565,1,1.3,0.47038411959599413,2.0,0.3095196042031118
