r,nu_minus,log_negativity,teleportation_fidelity
0.0,1.1472000000000002,0.0,0.4657228017883755
0.010033444816053512,1.1294342326180478,0.0,0.46960830472352416
0.020066889632107024,1.1120214157758492,0.0,0.47348004737568006
0.030100334448160536,1.094954537443987,0.0,0.47733732743436064
0.04013377926421405,1.0782267249002575,0.0,0.4811794536267423
0.05016722408026756,1.061831241962071,0.0,0.48500574617755055
0.06020066889632107,1.045761486273834,0.0,0.4888155372508296
0.07023411371237459,1.030010986648222,0.0,0.492608171373059
0.0802675585284281,1.014573400460276,0.0,0.49638300583713
0.0903010033444816,0.9994425110932659,0.0005576443614535656,0.5001394110867508
0.10033444816053512,0.9846122254353008,0.015507395083385259,0.5038767710808906
0.11036789297658864,0.9700765714256709,0.030380270986182168,0.5075944836379316
0.12040133779264214,0.9558296956499376,0.04517552442560629,0.5112919607592378
0.13043478260869565,0.9418658609828006,0.05989241265277748,0.5149686289319122
0.14046822742474918,0.9281794442777951,0.0745301982102045,0.5186239294105496
0.1505016722408027,0.9147649341028862,0.08908814933154316,0.522257318477855
0.1605351170568562,0.901616928521051,0.1035655403447168,0.5258682676840347
0.1705685618729097,0.8887301329149534,0.11796165207802421,0.5294562640649247
0.1806020066889632,0.8760993578548352,0.13227577226884205,0.5330208103388605
0.19063545150501673,0.8637195170087667,0.14650719597451553,0.5365614250823431
0.20066889632107024,0.8515856250944134,0.16065522598501947,0.5400776428846003
0.21070234113712374,0.839692795871494,0.17471917323695646,0.5435690144811829
0.22073578595317728,0.8280362401741247,0.18869835722844505,0.5470351068667806
0.23076923076923078,0.8166112639822508,0.20259210643444614,0.5504755033874823
0.2408026755852843,0.8054132665313962,0.21639975872205366,0.5538898038127438
0.2508361204013378,0.7944377384599651,0.23012066176527396,0.5572776243873622
0.2608695652173913,0.7836802599933504,0.2437541734588056,0.5606385978637943
0.2709030100334448,0.7731364991641198,0.25729966233031953,0.5639723735151881
0.28093645484949836,0.7628022100675593,0.2707565079507371,0.5672786171295275
0.29096989966555187,0.7526732311518759,0.2841241013419908,0.5705570109853216
0.3010033444816054,0.7427454835423659,0.2974018453817503,0.5738072538092968
0.3110367892976589,0.7330149693988802,0.31058915520458646,0.5770290607165751
0.3210702341137124,0.7234777703059175,0.32368545859905123,0.5802221631338476
0.3311036789297659,0.7141300456947061,0.3366901964001314,0.583386308706069
0.3411371237458194,0.7049680312966288,0.34960282287655553,0.5865212611872257
0.3511705685618729,0.6959880376273787,0.3624228061124056,0.5896268003157387
0.3612040133779264,0.6871864485012259,0.3751496283825117,0.5927027216750866
0.37123745819397996,0.6785597195748032,0.3877827865210869,0.5957488365402397
0.38127090301003347,0.6701043769198224,0.4003217922830777,0.5987649717105122
0.391304347826087,0.6618170156241443,0.4127661726977038,0.6017509693294485
0.4013377926421405,0.6536942984206443,0.4251154704136604,0.6047066866923632
0.411371237458194,0.6457329543433149,0.4373692440354763,0.6076319960421664
0.4214046822742475,0.6379297774100692,0.4495270684505145,0.6105267843541022
0.431438127090301,0.630281625331713,0.4615885351461185,0.6133909531100372
0.44147157190635455,0.6227854182465642,0.47355325251641933,0.6162244180629316
0.45150501672240806,0.6154381374802131,0.48542084615832176,0.6190271089921254
0.46153846153846156,0.6082368243299214,0.4971909591562094,0.621798969450071
0.47157190635451507,0.6011785788731713,0.5088632523549174,0.6245399565011354
0.4816053511705686,0.5942605587998858,0.5204374046205362,0.6272500404530936
0.4916387959866221,0.5874799782678484,0.5319131130886318,0.6299292045819267
0.5016722408026756,0.5808341067808622,0.543290093399475,0.6325774448505251
0.5117056856187291,0.5743202680891976,0.554568079919901,0.6351947696218964
0.5217391304347826,0.5679358391118821,0.5657468259514359,0.6377811993674594
0.5317725752508361,0.5616782488804041,0.576826103924343,0.6403367663709977
0.5418060200668896,0.5555449775033989,0.5878057055772734,0.642861514428833
0.5518394648829431,0.5495335551519065,0.5986854421222143,0.6453554985467651
0.5618729096989967,0.5436415610647851,0.6094651443944684,0.6478187846343112
0.5719063545150502,0.537866622573888,0.6201446629874023,0.6502514491967617
0.5819397993311037,0.5322064141486045,0.630723868371745,0.652653579025556
0.5919732441471572,0.526658656459384,0.6412026509992302,0.6550252708874641
0.6020066889632107,0.5212211154598645,0.6515809213904089,0.6573666312130438
0.6120401337792643,0.5158916014872363,0.6618586102064805,0.6596777757848273
0.6220735785953178,0.5106679683804792,0.6720356683050231,0.661958829425672
0.6321070234113713,0.5055481126161172,0.6821120667795245,0.6642099256876945
0.6421404682274248,0.5005299724611427,0.6920877969826509,0.666431206542191
0.6521739130434783,0.4956115271427706,0.7019628705332069,0.6686228220709216
0.6622073578595318,0.49079079603468556,0.7117373193067833,0.6707849301591298
0.6722408026755853,0.4860658378594565,0.7214111954101006,0.6729176961906409
0.6822742474916388,0.48143474990679697,0.730984571139097,0.67502129274537
0.6923076923076923,0.4768956672673558,0.7404575389208314,0.6770958992995505
