n,eta,r_c,boundary,n_max
0.0,0.5,0.0,0.5,0
0.008340283569641367,0.5,0.008410627245071734,0.5,0
0.016680567139282735,0.5,0.01696515584388126,0.5,0
0.025020850708924104,0.5,0.025668595790166056,0.5,0
0.03336113427856547,0.5,0.03452622335779446,0.5,0
0.041701417848206836,0.5,0.04354360031194649,0.5,0
0.05004170141784821,0.5,0.05272659488468982,0.5,0
0.058381984987489574,0.5,0.06208140471305391,0.5,0
0.06672226855713094,0.5,0.07161458196414337,0.5,0
0.0750625521267723,0.5,0.08133306090239471,0.5,0
0.08340283569641367,0.5,0.09124418818948034,0.5,0
0.09174311926605504,0.5,0.10135575624850197,0.5,0
0.10008340283569642,0.5,0.11167604007203798,0.5,0
0.10842368640533778,0.5,0.12221383790962563,0.5,0
0.11676396997497915,0.5,0.13297851633591362,0.5,0
0.12510425354462051,0.5,0.14398006027794696,0.5,0
0.13344453711426188,0.5,0.15522912867116861,0.5,0
0.14178482068390325,0.5,0.16673711652162942,0.5,0
0.1501251042535446,0.5,0.17851622428015407,0.5,0
0.15846538782318598,0.5,0.19057953558722238,0.5,0
0.16680567139282734,0.5,0.20294110463061976,0.5,0
0.1751459549624687,0.5,0.21561605457838298,0.5,0
0.18348623853211007,0.5,0.2286206888159422,0.5,0
0.19182652210175144,0.5,0.24197261703965622,0.5,0
0.20016680567139283,0.5,0.2556908986532338,0.5,0
0.2085070892410342,0.5,0.26979620639685203,0.5,0
0.21684737281067556,0.5,0.28431101373440903,0.5,0
0.22518765638031693,0.5,0.2992598102625034,0.5,0
0.2335279399499583,0.5,0.3146693503249897,0.5,0
0.24186822351959966,0.5,0.33056894117145913,0.5,0
0.25020850708924103,0.5,0.34699077845603243,0.5,0
0.25854879065888237,0.5,0.36397033872725937,0.5,0
0.26688907422852376,0.5,0.38154684093620755,0.5,0
0.27522935779816515,0.5,0.39976379205925855,0.5,0
0.2835696413678065,0.5,0.4186696359308128,0.5,0
0.2919099249374479,0.5,0.4383185296379978,0.5,0
0.3002502085070892,0.5,0.4587712788082995,0.5,0
0.3085904920767306,0.5,0.4800964724834845,0.5,0
0.31693077564637195,0.5,0.5023718709761714,0.5,0
0.32527105921601335,0.5,0.5256861175526882,0.5,0
0.3336113427856547,0.5,0.5501408690688253,0.5,0
0.3419516263552961,0.5,0.5758534749725439,0.5,0
0.3502919099249374,0.5,0.6029603832696175,0.5,0
0.3586321934945788,0.5,0.631621523823532,0.5,0
0.36697247706422015,0.5,0.6620260261213347,0.5,0
0.37531276063386154,0.5,0.6943997908184139,0.5,0
0.3836530442035029,0.5,0.7290156866030741,0.5,0
0.3919933277731443,0.5,0.7662075466639883,0.5,0
0.40033361134278567,0.5,0.8063898015480019,0.5,0
0.408673894912427,0.5,0.8500857126055066,0.5,0
0.4170141784820684,0.5,0.8979691651515109,0.5,0
0.42535446205170974,0.5,0.9509286745933795,0.5,0
0.43369474562135113,0.5,1.0101694764036413,0.5,0
0.44203502919099247,0.5,1.077384610948411,0.5,0
0.45037531276063386,0.5,1.1550598309579925,0.5,0
0.4587155963302752,0.5,1.2470616524464617,0.5,0
0.4670558798999166,0.5,1.3598976512802463,0.5,0
0.47539616346955793,0.5,1.5058528555608968,0.5,0
0.4837364470391993,0.5,1.7128407544489337,0.5,0
0.49207673060884066,0.5,2.0724020879305347,0.5,0
0.5004170141784821,0.5,,0.5,0
0.5087572977481234,0.5,,0.5,0
0.5170975813177647,0.5,,0.5,0
0.5254378648874062,0.5,,0.5,0
0.5337781484570475,0.5,,0.5,0
0.5421184320266889,0.5,,0.5,0
0.5504587155963303,0.5,,0.5,0
0.5587989991659716,0.5,,0.5,0
0.567139282735613,0.5,,0.5,0
0.5754795663052543,0.5,,0.5,0
0.5838198498748958,0.5,,0.5,0
0.5921601334445371,0.5,,0.5,0
0.6005004170141784,0.5,,0.5,0
0.6088407005838198,0.5,,0.5,0
0.6171809841534612,0.5,,0.5,0
0.6255212677231026,0.5,,0.5,0
0.6338615512927439,0.5,,0.5,0
0.6422018348623852,0.5,,0.5,0
0.6505421184320267,0.5,,0.5,0
0.658882402001668,0.5,,0.5,0
0.6672226855713094,0.5,,0.5,0
0.6755629691409508,0.5,,0.5,0
0.6839032527105922,0.5,,0.5,0
0.6922435362802335,0.5,,0.5,0
0.7005838198498748,0.5,,0.5,0
0.7089241034195163,0.5,,0.5,0
0.7172643869891576,0.5,,0.5,0
0.725604670558799,0.5,,0.5,0
0.7339449541284403,0.5,,0.5,0
0.7422852376980817,0.5,,0.5,0
0.7506255212677231,0.5,,0.5,0
0.7589658048373644,0.5,,0.5,0
0.7673060884070058,0.5,,0.5,0
0.7756463719766472,0.5,,0.5,0
0.7839866555462885,0.5,,0.5,0
0.7923269391159299,0.5,,0.5,0
0.8006672226855713,0.5,,0.5,0
0.8090075062552127,0.5,,0.5,0
0.817347789824854,0.5,,0.5,0
0.8256880733944953,0.5,,0.5,0
0.8340283569641368,0.5,,0.5,0
0.8423686405337781,0.5,,0.5,0
0.8507089241034195,0.5,,0.5,0
0.8590492076730608,0.5,,0.5,0
0.8673894912427023,0.5,,0.5,0
0.8757297748123436,0.5,,0.5,0
0.8840700583819849,0.5,,0.5,0
