N_th,eta,sensitivity,boundary_N_th,unit_response_N_th
0.0,0.5,1.0,0.5,0.0
0.0009869739478957915,0.5,1.0019778520727287,0.5,0.0
0.001973947895791583,0.5,1.0039635434480816,0.5,0.0
0.0029609218436873743,0.5,1.0059571208257314,0.5,0.0
0.003947895791583166,0.5,1.007958631277017,0.5,0.0
0.004934869739478958,0.5,1.0099681222486465,0.5,0.0
0.005921843687374749,0.5,1.011985641566448,0.5,0.0
0.00690881763527054,0.5,1.0140112374391643,0.5,0.0
0.007895791583166332,0.5,1.0160449584622904,0.5,0.0
0.008882765531062124,0.5,1.0180868536219614,0.5,0.0
0.009869739478957916,0.5,1.0201369722988858,0.5,0.0
0.010856713426853707,0.5,1.0221953642723258,0.5,0.0
0.011843687374749497,0.5,1.0242620797241266,0.5,0.0
0.012830661322645289,0.5,1.0263371692427936,0.5,0.0
0.01381763527054108,0.5,1.0284206838276209,0.5,0.0
0.014804609218436873,0.5,1.03051267489287,0.5,0.0
0.015791583166332664,0.5,1.0326131942719974,0.5,0.0
0.016778557114228456,0.5,1.0347222942219365,0.5,0.0
0.017765531062124248,0.5,1.0368400274274314,0.5,0.0
0.01875250501002004,0.5,1.0389664470054238,0.5,0.0
0.01973947895791583,0.5,1.0411016065094931,0.5,0.0
0.020726452905811623,0.5,1.0432455599343529,0.5,0.0
0.021713426853707415,0.5,1.045398361720403,0.5,0.0
0.022700400801603206,0.5,1.047560066758337,0.5,0.0
0.023687374749498995,0.5,1.0497307303938068,0.5,0.0
0.024674348697394786,0.5,1.0519104084321476,0.5,0.0
0.025661322645290578,0.5,1.0540991571431588,0.5,0.0
0.02664829659318637,0.5,1.0562970332659476,0.5,0.0
0.02763527054108216,0.5,1.0585040940138306,0.5,0.0
0.028622244488977953,0.5,1.060720397079299,0.5,0.0
0.029609218436873745,0.5,1.0629460006390457,0.5,0.0
0.030596192384769537,0.5,1.0651809633590557,0.5,0.0
0.03158316633266533,0.5,1.0674253443997603,0.5,0.0
0.03257014028056112,0.5,1.0696792034212586,0.5,0.0
0.03355711422845691,0.5,1.0719426005886017,0.5,0.0
0.034544088176352704,0.5,1.0742155965771487,0.5,0.0
0.035531062124248496,0.5,1.0764982525779867,0.5,0.0
0.03651803607214429,0.5,1.0787906303034234,0.5,0.0
0.03750501002004008,0.5,1.081092791992547,0.5,0.0
0.03849198396793587,0.5,1.083404800416861,0.5,0.0
0.03947895791583166,0.5,1.0857267188859878,0.5,0.0
0.040465931863727454,0.5,1.088058611253448,0.5,0.0
0.041452905811623246,0.5,1.0904005419225138,0.5,0.0
0.04243987975951904,0.5,1.092752575852139,0.5,0.0
0.04342685370741483,0.5,1.0951147785629636,0.5,0.0
0.04441382765531062,0.5,1.0974872161433993,0.5,0.0
0.04540080160320641,0.5,1.0998699552557913,0.5,0.0
0.046387775551102205,0.5,1.1022630631426646,0.5,0.0
0.04737474949899799,0.5,1.1046666076330471,0.5,0.0
0.04836172344689378,0.5,1.1070806571488792,0.5,0.0
0.04934869739478957,0.5,1.1095052807115062,0.5,0.0
0.050335671342685365,0.5,1.111940547948258,0.5,0.0
0.051322645290581156,0.5,1.1143865290991113,0.5,0.0
0.05230961923847695,0.5,1.1168432950234448,0.5,0.0
0.05329659318637274,0.5,1.1193109172068818,0.5,0.0
0.05428356713426853,0.5,1.1217894677682234,0.5,0.0
0.05527054108216432,0.5,1.1242790194664745,0.5,0.0
0.056257515030060115,0.5,1.1267796457079633,0.5,0.0
0.05724448897795591,0.5,1.1292914205535562,0.5,0.0
0.0582314629258517,0.5,1.1318144187259715,0.5,0.0
0.05921843687374749,0.5,1.1343487156171856,0.5,0.0
0.06020541082164328,0.5,1.1368943872959458,0.5,0.0
