r,alpha,beta,gamma,nu_minus_closed,nu_minus_exact,abs_error
0.0,1.0,1.2579200000000001,0.0,1.0,0.9999999999999996,4.440892098500626e-16
0.010033444816053512,1.0002013467861455,1.2580864251995563,0.0182451064204068,0.9989169213297493,0.9989169213297482,1.1102230246251565e-15
0.020066889632107024,1.0008054682256387,1.258585767816584,0.036497560027894865,0.995737629822239,0.9957376298222389,1.1102230246251565e-16
0.030100334448160536,1.0018126075943001,1.2594182289331448,0.05476471096821047,0.9906535034305267,0.9906535034305262,5.551115123125783e-16
0.04013377926421405,1.00322317046068,1.26058414377598,0.07305391530562134,0.983932233566583,0.9839322335665828,2.220446049250313e-16
0.05016722408026756,1.0050377248493776,1.2620839818515017,0.0913725379851565,0.9758676852753788,0.9758676852753778,9.992007221626409e-16
0.06020066889632107,1.0072570014697824,1.2639183471348634,0.10972795579842218,0.9667416323784652,0.9667416323784651,1.1102230246251565e-16
0.07023411371237459,1.009881894010324,1.2660879783131735,0.12812756035418854,0.9568025387530439,0.9568025387530443,4.440892098500626e-16
0.0802675585284281,1.0129134594983569,1.268593749082962,0.14657876105494286,0.9462582680665769,0.9462582680665772,3.3306690738754696e-16
0.0903010033444816,1.0163529187258167,1.271436668502011,0.16508898808060843,0.9352771916828918,0.9352771916828923,4.440892098500626e-16
0.10033444816053512,1.0202016567408267,1.2746178813956979,0.18366569538063005,0.9239931369623249,0.9239931369623244,4.440892098500626e-16
0.11036789297658864,1.024461223405447,1.2781386688180063,0.20231636367563186,0.9125113940647515,0.9125113940647511,3.3306690738754696e-16
0.12040133779264214,1.0291333340197941,1.282000448567401,0.22104850346985508,0.9009144118413631,0.9009144118413636,4.440892098500626e-16
0.13043478260869565,1.0342198700127814,1.2862047757577648,0.23986965807559021,0.8892666621964043,0.8892666621964048,5.551115123125783e-16
0.14046822742474918,1.0397228796997586,1.2907533434446328,0.2587874066508201,0.8776185794241709,0.87761857942417,8.881784197001252e-16
0.1505016722408027,1.0456445791073548,1.2956479833069754,0.2778093672512981,0.8660096615101622,0.8660096615101626,3.3306690738754696e-16
0.1605351170568562,1.0519873528658585,1.300890666384804,0.29694319989829043,0.8544708763636472,0.8544708763636458,1.3322676295501878e-15
0.1705685618729097,1.058753755169493,1.3064835038728964,0.31619660966321733,0.84302651674371,0.8430265167437098,2.220446049250313e-16
0.1806020066889632,1.065946510804973,1.3124287479709589,0.3355773497704358,0.8316956280948787,0.8316956280948775,1.2212453270876722e-15
0.19063545150501673,1.0735685162487605,1.3187287927905755,0.35509322471941346,0.8204931094519201,0.8204931094519199,2.220446049250313e-16
0.20066889632107024,1.0816228408334552,1.325386175319301,0.37475209342754956,0.8094305653470403,0.8094305653470404,1.1102230246251565e-16
0.21070234113712374,1.090112727983797,1.3324035764422875,0.3945618723949116,0.7985169682254708,0.7985169682254706,2.220446049250313e-16
0.22073578595317728,1.0990415965227704,1.3397838220218612,0.4145305388921583,0.7877591763795723,0.7877591763795722,1.1102230246251565e-16
0.23076923076923078,1.108413042048344,1.3475298840354795,0.43466613417293515,0.7771623413204016,0.7771623413204001,1.5543122344752192e-15
0.2408026755852843,1.1182308383813941,1.3556448817725255,0.454976766712036,0.766730230143576,0.7667302301435763,3.3306690738754696e-16
0.2508361204013378,1.1284989390853981,1.3641320830904269,0.4754706154706336,0.7564654821867735,0.7564654821867735,0.0
0.2608695652173913,1.139221479058509,1.3729949057306012,0.4961559331898944,0.7463698146025373,0.7463698146025367,5.551115123125783e-16
0.2709030100334448,1.1504027761986526,1.3822369186947585,0.5170410497143051,0.7364441879789425,0.7364441879789424,1.1102230246251565e-16
0.28093645484949836,1.1620473331423173,1.391861843682114,0.5381343753460462,0.7266889405268139,0.7266889405268133,5.551115123125783e-16
0.29096989966555187,1.1741598390777364,1.401873556588094,0.5594444042317681,0.7171038973880183,0.717103897388018,2.220446049250313e-16
0.3010033444816054,1.1867451716331945,1.4122760890651334,0.5809797177831282,0.7076884601368726,0.7076884601368725,1.1102230246251565e-16
0.3110367892976589,1.1998083988412167,1.4230736301461961,0.6027489881324712,0.6984416804221804,0.6984416804221802,1.1102230246251565e-16
0.3210702341137124,1.213354781179433,1.434270527931672,0.6247609816250401,0.6893623208399349,0.6893623208399348,1.1102230246251565e-16
0.3311036789297659,1.227389773688939,1.4458712913403295,0.6470245623491275,0.6804489054692759,0.6804489054692756,3.3306690738754696e-16
0.3411371237458194,1.241919028171005,1.457880591925026,0.6695486957055874,0.6716997619974246,0.6716997619974244,2.220446049250313e-16
0.3511705685618729,1.2569483954630218,1.4703032657539155,0.6923424520181438,0.6631130569663981,0.6631130569663982,1.1102230246251565e-16
0.3612040133779264,1.272483927794593,1.483144315357899,0.7154150101859522,0.6546868253680012,0.654686825368001,1.1102230246251565e-16
0.37123745819397996,1.288531881224731,1.496408911745114,0.7387756613798832,0.6464189955735798,0.6464189955735797,1.1102230246251565e-16
0.38127090301003347,1.30509871816113,1.5101023964832636,0.7624338127840167,0.638307410395894,0.6383074103958939,1.1102230246251565e-16
0.391304347826087,1.322191109962538,1.5242302838506356,0.7863989913838557,0.6303498449307237,0.6303498449307234,2.220446049250313e-16
0.4013377926421405,1.3398159396252682,1.5387982630566617,0.8106808478027813,0.6225440217066225,0.6225440217066227,2.220446049250313e-16
0.411371237458194,1.3579803045549386,1.5538122005329302,0.8352891601882964,0.6148876235759237,0.6148876235759236,1.1102230246251565e-16
0.4214046822742475,1.3766915194245513,1.569278142295557,0.8602338381496238,0.6073783047034823,0.6073783047034822,1.1102230246251565e-16
0.431438127090301,1.3959571191200637,1.5852023163798803,0.8855249267482411,0.6000136999478358,0.6000136999478359,1.1102230246251565e-16
0.44147157190635455,1.4157848617746398,1.6015911353484464,0.9111726105429641,0.5927914328793007,0.5927914328793007,0.0
0.45150501672240806,1.4361827318927995,1.6184511988733123,0.9371872176911998,0.5857091226387269,0.5857091226387269,0.0
0.46153846153846156,1.457158943565728,1.6357892963936884,0.9635792241080333,0.578764389807225,0.5787643898072253,3.3306690738754696e-16
0.47157190635451507,1.4787219437790367,1.6536124098500007,0.9903592576848084,0.5719548614298046,0.5719548614298046,0.0
0.4816053511705686,1.500880415814311,1.6719277164954771,1.017538102568912,0.5652781753132603,0.5652781753132604,1.1102230246251565e-16
0.4916387959866221,1.5236432827458113,1.690742591786378,1.0451267035064815,0.5587319836999718,0.5587319836999716,2.220446049250313e-16
0.5016722408026756,1.5470197110337378,1.7100646123520467,1.0731361702497826,0.5523139564037702,0.5523139564037702,0.0
0.5117056856187291,1.571019114215505,1.7299015590459679,1.1015777820310366,0.5460217834811082,0.546021783481108,2.220446049250313e-16
0.5217391304347826,1.5956511566965135,1.75026142007907,1.1304629921044926,0.539853177499975,0.5398531774999747,2.220446049250313e-16
0.5317725752508361,1.6209257576419422,1.7711523942365237,1.1598034323585824,0.5338058754599234,0.5338058754599234,0.0
0.5418060200668896,1.6468530949711344,1.7925828941793411,1.1896109180000043,0.5278776404089891,0.5278776404089891,0.0
0.5518394648829431,1.6734436094561793,1.8145615498320997,1.2198974523116317,0.522066262796819,0.5220662627968189,1.1102230246251565e-16
0.5618729096989967,1.700708008926344,1.837097211858159,1.2506752314861598,0.516369561597908,0.5163695615979079,1.1102230246251565e-16
0.5719063545150502,1.7286572725800469,1.8601989552237634,1.2819566495374306,0.5107853852342202,0.5107853852342199,3.3306690738754696e-16
0.5819397993311037,1.757302655406112,1.8838760828524763,1.3137543032914258,0.5053116123225352,0.505311612322535,2.220446049250313e-16
0.5919732441471572,1.7866556927160793,1.9081381293714026,1.3460809974589265,0.4999461522685094,0.49994615226850947,5.551115123125783e-17
0.6020066889632107,1.8167282047894004,1.9329948649507267,1.3789497497918868,0.4946869457265834,0.4946869457265831,2.7755575615628914e-16
