r,series,nu_minus,ordering
0.0,best,1.38212,amp -> thermal -> loss
0.0,median,1.466,loss -> amp -> thermal
0.0,worst,1.52,loss -> thermal -> amp
0.006012024048096192,best,1.3710942356314755,amp -> thermal -> loss
0.006012024048096192,median,1.4549742356314757,loss -> amp -> thermal
0.006012024048096192,worst,1.5089742356314757,loss -> thermal -> amp
0.012024048096192385,best,1.3602002517289788,amp -> thermal -> loss
0.012024048096192385,median,1.4440802517289786,loss -> amp -> thermal
0.012024048096192385,worst,1.4980802517289789,loss -> thermal -> amp
0.018036072144288578,best,1.3494364732460409,amp -> thermal -> loss
0.018036072144288578,median,1.433316473246041,loss -> amp -> thermal
0.018036072144288578,worst,1.4873164732460409,loss -> thermal -> amp
0.02404809619238477,best,1.3388013439612254,amp -> thermal -> loss
0.02404809619238477,median,1.4226813439612258,loss -> amp -> thermal
0.02404809619238477,worst,1.4766813439612259,loss -> thermal -> amp
0.03006012024048096,best,1.3282933262531293,amp -> thermal -> loss
0.03006012024048096,median,1.4121733262531293,loss -> amp -> thermal
0.03006012024048096,worst,1.4661733262531293,loss -> thermal -> amp
0.036072144288577156,best,1.317910900878073,amp -> thermal -> loss
0.036072144288577156,median,1.4017909008780733,loss -> amp -> thermal
0.036072144288577156,worst,1.4557909008780734,loss -> thermal -> amp
0.04208416833667335,best,1.3076525667504524,amp -> thermal -> loss
0.04208416833667335,median,1.3915325667504523,loss -> amp -> thermal
0.04208416833667335,worst,1.4455325667504526,loss -> thermal -> amp
0.04809619238476954,best,1.2975168407257098,amp -> thermal -> loss
0.04809619238476954,median,1.3813968407257096,loss -> amp -> thermal
0.04809619238476954,worst,1.4353968407257096,loss -> thermal -> amp
0.05410821643286573,best,1.2875022573859018,amp -> thermal -> loss
0.05410821643286573,median,1.371382257385902,loss -> amp -> thermal
0.05410821643286573,worst,1.425382257385902,loss -> thermal -> amp
0.06012024048096192,best,1.2776073688278324,amp -> thermal -> loss
0.06012024048096192,median,1.3614873688278326,loss -> amp -> thermal
0.06012024048096192,worst,1.4154873688278327,loss -> thermal -> amp
0.06613226452905811,best,1.2678307444537134,amp -> thermal -> loss
0.06613226452905811,median,1.3517107444537135,loss -> amp -> thermal
0.06613226452905811,worst,1.4057107444537134,loss -> thermal -> amp
0.07214428857715431,best,1.25817097076433,amp -> thermal -> loss
0.07214428857715431,median,1.34205097076433,loss -> amp -> thermal
0.07214428857715431,worst,1.39605097076433,loss -> thermal -> amp
0.0781563126252505,best,1.248626651154678,amp -> thermal -> loss
0.0781563126252505,median,1.3325066511546781,loss -> amp -> thermal
0.0781563126252505,worst,1.3865066511546782,loss -> thermal -> amp
0.0841683366733467,best,1.2391964057120441,amp -> thermal -> loss
0.0841683366733467,median,1.323076405712044,loss -> amp -> thermal
0.0841683366733467,worst,1.3770764057120441,loss -> thermal -> amp
0.09018036072144288,best,1.229878871016497,amp -> thermal -> loss
0.09018036072144288,median,1.3137588710164971,loss -> amp -> thermal
0.09018036072144288,worst,1.3677588710164972,loss -> thermal -> amp
0.09619238476953908,best,1.220672699943767,amp -> thermal -> loss
0.09619238476953908,median,1.304552699943767,loss -> amp -> thermal
0.09619238476953908,worst,1.3585526999437672,loss -> thermal -> amp
0.10220440881763528,best,1.211576561470478,amp -> thermal -> loss
0.10220440881763528,median,1.295456561470478,loss -> amp -> thermal
0.10220440881763528,worst,1.349456561470478,loss -> thermal -> amp
0.10821643286573146,best,1.202589140481709,amp -> thermal -> loss
0.10821643286573146,median,1.286469140481709,loss -> amp -> thermal
0.10821643286573146,worst,1.3404691404817093,loss -> thermal -> amp
0.11422845691382766,best,1.1937091375808566,amp -> thermal -> loss
0.11422845691382766,median,1.2775891375808568,loss -> amp -> thermal
0.11422845691382766,worst,1.3315891375808566,loss -> thermal -> amp
0.12024048096192384,best,1.1849352689017674,amp -> thermal -> loss
0.12024048096192384,median,1.2688152689017675,loss -> amp -> thermal
0.12024048096192384,worst,1.3228152689017676,loss -> thermal -> amp
0.12625250501002003,best,1.1762662659231187,amp -> thermal -> loss
0.12625250501002003,median,1.2601462659231186,loss -> amp -> thermal
0.12625250501002003,worst,1.3141462659231187,loss -> thermal -> amp
0.13226452905811623,best,1.1677008752850142,amp -> thermal -> loss
0.13226452905811623,median,1.2515808752850144,loss -> amp -> thermal
0.13226452905811623,worst,1.3055808752850144,loss -> thermal -> amp
0.13827655310621242,best,1.1592378586077774,amp -> thermal -> loss
0.13827655310621242,median,1.2431178586077776,loss -> amp -> thermal
0.13827655310621242,worst,1.2971178586077776,loss -> thermal -> amp
0.14428857715430862,best,1.150875992312904,amp -> thermal -> loss
0.14428857715430862,median,1.234755992312904,loss -> amp -> thermal
0.14428857715430862,worst,1.288755992312904,loss -> thermal -> amp
0.15030060120240482,best,1.1426140674461585,amp -> thermal -> loss
0.15030060120240482,median,1.2264940674461586,loss -> amp -> thermal
0.15030060120240482,worst,1.2804940674461587,loss -> thermal -> amp
0.156312625250501,best,1.1344508895027858,amp -> thermal -> loss
0.156312625250501,median,1.218330889502786,loss -> amp -> thermal
0.156312625250501,worst,1.2723308895027858,loss -> thermal -> amp
0.1623246492985972,best,1.126385278254808,amp -> thermal -> loss
0.1623246492985972,median,1.2102652782548085,loss -> amp -> thermal
0.1623246492985972,worst,1.2642652782548085,loss -> thermal -> amp
0.1683366733466934,best,1.1184160675803896,amp -> thermal -> loss
0.1683366733466934,median,1.2022960675803898,loss -> amp -> thermal
0.1683366733466934,worst,1.2562960675803898,loss -> thermal -> amp
0.1743486973947896,best,1.110542105295239,amp -> thermal -> loss
0.1743486973947896,median,1.1944221052952386,loss -> amp -> thermal
0.1743486973947896,worst,1.248422105295239,loss -> thermal -> amp
0.18036072144288576,best,1.102762252986026,amp -> thermal -> loss
0.18036072144288576,median,1.1866422529860259,loss -> amp -> thermal
0.18036072144288576,worst,1.240642252986026,loss -> thermal -> amp
0.18637274549098196,best,1.0950753858457918,amp -> thermal -> loss
0.18637274549098196,median,1.1789553858457917,loss -> amp -> thermal
0.18637274549098196,worst,1.2329553858457918,loss -> thermal -> amp
0.19238476953907815,best,1.0874803925113254,amp -> thermal -> loss
0.19238476953907815,median,1.1713603925113254,loss -> amp -> thermal
0.19238476953907815,worst,1.2253603925113254,loss -> thermal -> amp
0.19839679358717435,best,1.0799761749024808,amp -> thermal -> loss
0.19839679358717435,median,1.1638561749024807,loss -> amp -> thermal
0.19839679358717435,worst,1.217856174902481,loss -> thermal -> amp
0.20440881763527055,best,1.0725616480634197,amp -> thermal -> loss
0.20440881763527055,median,1.1564416480634199,loss -> amp -> thermal
0.20440881763527055,worst,1.21044164806342,loss -> thermal -> amp
0.21042084168336672,best,1.065235740005748,amp -> thermal -> loss
0.21042084168336672,median,1.149115740005748,loss -> amp -> thermal
0.21042084168336672,worst,1.203115740005748,loss -> thermal -> amp
0.21643286573146292,best,1.0579973915535281,amp -> thermal -> loss
0.21643286573146292,median,1.141877391553528,loss -> amp -> thermal
0.21643286573146292,worst,1.1958773915535281,loss -> thermal -> amp
0.22244488977955912,best,1.0508455561901446,amp -> thermal -> loss
0.22244488977955912,median,1.1347255561901444,loss -> amp -> thermal
0.22244488977955912,worst,1.1887255561901446,loss -> thermal -> amp
0.22845691382765532,best,1.0437791999069983,amp -> thermal -> loss
0.22845691382765532,median,1.1276591999069983,loss -> amp -> thermal
0.22845691382765532,worst,1.1816591999069983,loss -> thermal -> amp
0.2344689378757515,best,1.036797301054012,amp -> thermal -> loss
0.2344689378757515,median,1.1206773010540116,loss -> amp -> thermal
0.2344689378757515,worst,1.174677301054012,loss -> thermal -> amp
0.24048096192384769,best,1.029898850191917,amp -> thermal -> loss
0.24048096192384769,median,1.113778850191917,loss -> amp -> thermal
0.24048096192384769,worst,1.167778850191917,loss -> thermal -> amp
0.24649298597194388,best,1.0230828499463138,amp -> thermal -> loss
0.24649298597194388,median,1.1069628499463138,loss -> amp -> thermal
0.24649298597194388,worst,1.1609628499463138,loss -> thermal -> amp
0.25250501002004005,best,1.016348314863468,amp -> thermal -> loss
0.25250501002004005,median,1.100228314863468,loss -> amp -> thermal
0.25250501002004005,worst,1.154228314863468,loss -> thermal -> amp
0.25851703406813625,best,1.0096942712678363,amp -> thermal -> loss
0.25851703406813625,median,1.0935742712678365,loss -> amp -> thermal
0.25851703406813625,worst,1.1475742712678363,loss -> thermal -> amp
0.26452905811623245,best,1.0031197571212922,amp -> thermal -> loss
0.26452905811623245,median,1.0869997571212924,loss -> amp -> thermal
0.26452905811623245,worst,1.1409997571212924,loss -> thermal -> amp
0.27054108216432865,best,0.9966238218840354,amp -> thermal -> loss
0.27054108216432865,median,1.0805038218840355,loss -> amp -> thermal
0.27054108216432865,worst,1.1345038218840355,loss -> thermal -> amp
0.27655310621242485,best,0.9902055263771624,amp -> thermal -> loss
0.27655310621242485,median,1.0740855263771623,loss -> amp -> thermal
0.27655310621242485,worst,1.1280855263771623,loss -> thermal -> amp
0.28256513026052105,best,0.9838639426468817,amp -> thermal -> loss
0.28256513026052105,median,1.0677439426468815,loss -> amp -> thermal
0.28256513026052105,worst,1.1217439426468816,loss -> thermal -> amp
0.28857715430861725,best,0.9775981538303496,amp -> thermal -> loss
0.28857715430861725,median,1.0614781538303495,loss -> amp -> thermal
0.28857715430861725,worst,1.1154781538303498,loss -> thermal -> amp
0.29458917835671344,best,0.971407254023112,amp -> thermal -> loss
0.29458917835671344,median,1.0552872540231122,loss -> amp -> thermal
0.29458917835671344,worst,1.109287254023112,loss -> thermal -> amp
0.30060120240480964,best,0.9652903481481279,amp -> thermal -> loss
0.30060120240480964,median,1.0491703481481278,loss -> amp -> thermal
0.30060120240480964,worst,1.1031703481481279,loss -> thermal -> amp
0.3066132264529058,best,0.95924655182636,amp -> thermal -> loss
0.3066132264529058,median,1.04312655182636,loss -> amp -> thermal
0.3066132264529058,worst,1.0971265518263602,loss -> thermal -> amp
0.312625250501002,best,0.9532749912489119,amp -> thermal -> loss
0.312625250501002,median,1.037154991248912,loss -> amp -> thermal
0.312625250501002,worst,1.0911549912489118,loss -> thermal -> amp
0.3186372745490982,best,0.9473748030506938,amp -> thermal -> loss
0.3186372745490982,median,1.0312548030506936,loss -> amp -> thermal
0.3186372745490982,worst,1.0852548030506937,loss -> thermal -> amp
0.3246492985971944,best,0.9415451341855956,amp -> thermal -> loss
0.3246492985971944,median,1.0254251341855956,loss -> amp -> thermal
0.3246492985971944,worst,1.0794251341855956,loss -> thermal -> amp
0.3306613226452906,best,0.9357851418031568,amp -> thermal -> loss
0.3306613226452906,median,1.0196651418031568,loss -> amp -> thermal
0.3306613226452906,worst,1.0736651418031569,loss -> thermal -> amp
0.3366733466933868,best,0.9300939931267053,amp -> thermal -> loss
0.3366733466933868,median,1.0139739931267053,loss -> amp -> thermal
0.3366733466933868,worst,1.0679739931267054,loss -> thermal -> amp
0.342685370741483,best,0.924470865332956,amp -> thermal -> loss
0.342685370741483,median,1.0083508653329558,loss -> amp -> thermal
0.342685370741483,worst,1.0623508653329559,loss -> thermal -> amp
0.3486973947895792,best,0.9189149454330472,amp -> thermal -> loss
0.3486973947895792,median,1.0027949454330471,loss -> amp -> thermal
0.3486973947895792,worst,1.0567949454330472,loss -> thermal -> amp
0.35470941883767537,best,0.9134254301549996,amp -> thermal -> loss
0.35470941883767537,median,0.9973054301549995,loss -> amp -> thermal
0.35470941883767537,worst,1.0513054301549993,loss -> thermal -> amp
0.3607214428857715,best,0.9080015258275785,amp -> thermal -> loss
0.3607214428857715,median,0.9918815258275786,loss -> amp -> thermal
0.3607214428857715,worst,1.0458815258275787,loss -> thermal -> amp
0.3667334669338677,best,0.9026424482655468,amp -> thermal -> loss
0.3667334669338677,median,0.9865224482655468,loss -> amp -> thermal
0.3667334669338677,worst,1.040522448265547,loss -> thermal -> amp
0.3727454909819639,best,0.8973474226562865,amp -> thermal -> loss
0.3727454909819639,median,0.9812274226562864,loss -> amp -> thermal
0.3727454909819639,worst,1.0352274226562865,loss -> thermal -> amp
0.3787575150300601,best,0.8921156834477774,amp -> thermal -> loss
0.3787575150300601,median,0.9759956834477775,loss -> amp -> thermal
0.3787575150300601,worst,1.0299956834477775,loss -> thermal -> amp
0.3847695390781563,best,0.886946474237914,amp -> thermal -> loss
0.3847695390781563,median,0.970826474237914,loss -> amp -> thermal
0.3847695390781563,worst,1.0248264742379138,loss -> thermal -> amp
0.3907815631262525,best,0.8818390476651448,amp -> thermal -> loss
0.3907815631262525,median,0.9657190476651448,loss -> amp -> thermal
0.3907815631262525,worst,1.0197190476651448,loss -> thermal -> amp
0.3967935871743487,best,0.87679266530042,amp -> thermal -> loss
0.3967935871743487,median,0.9606726653004201,loss -> amp -> thermal
0.3967935871743487,worst,1.0146726653004199,loss -> thermal -> amp
0.4028056112224449,best,0.871806597540429,amp -> thermal -> loss
0.4028056112224449,median,0.9556865975404291,loss -> amp -> thermal
0.4028056112224449,worst,1.009686597540429,loss -> thermal -> amp
0.4088176352705411,best,0.8668801235021151,amp -> thermal -> loss
0.4088176352705411,median,0.9507601235021153,loss -> amp -> thermal
0.4088176352705411,worst,1.004760123502115,loss -> thermal -> amp
0.41482965931863724,best,0.8620125309184509,amp -> thermal -> loss
0.41482965931863724,median,0.9458925309184507,loss -> amp -> thermal
0.41482965931863724,worst,0.9998925309184507,loss -> thermal -> amp
0.42084168336673344,best,0.8572031160354578,amp -> thermal -> loss
0.42084168336673344,median,0.9410831160354579,loss -> amp -> thermal
0.42084168336673344,worst,0.9950831160354577,loss -> thermal -> amp
0.42685370741482964,best,0.8524511835104599,amp -> thermal -> loss
0.42685370741482964,median,0.9363311835104599,loss -> amp -> thermal
0.42685370741482964,worst,0.9903311835104598,loss -> thermal -> amp
0.43286573146292584,best,0.8477560463115494,amp -> thermal -> loss
0.43286573146292584,median,0.9316360463115495,loss -> amp -> thermal
0.43286573146292584,worst,0.9856360463115496,loss -> thermal -> amp
0.43887775551102204,best,0.8431170256182576,amp -> thermal -> loss
0.43887775551102204,median,0.9269970256182577,loss -> amp -> thermal
0.43887775551102204,worst,0.9809970256182576,loss -> thermal -> amp
0.44488977955911824,best,0.83853345072341,amp -> thermal -> loss
0.44488977955911824,median,0.92241345072341,loss -> amp -> thermal
0.44488977955911824,worst,0.9764134507234099,loss -> thermal -> amp
0.45090180360721444,best,0.8340046589361573,amp -> thermal -> loss
0.45090180360721444,median,0.9178846589361571,loss -> amp -> thermal
0.45090180360721444,worst,0.9718846589361572,loss -> thermal -> amp
0.45691382765531063,best,0.8295299954861621,amp -> thermal -> loss
0.45691382765531063,median,0.9134099954861622,loss -> amp -> thermal
0.45691382765531063,worst,0.9674099954861621,loss -> thermal -> amp
0.46292585170340683,best,0.8251088134289347,amp -> thermal -> loss
0.46292585170340683,median,0.9089888134289347,loss -> amp -> thermal
0.46292585170340683,worst,0.9629888134289347,loss -> thermal -> amp
0.468937875751503,best,0.8207404735522963,amp -> thermal -> loss
0.468937875751503,median,0.9046204735522964,loss -> amp -> thermal
0.468937875751503,worst,0.9586204735522963,loss -> thermal -> amp
0.4749498997995992,best,0.8164243442839629,amp -> thermal -> loss
0.4749498997995992,median,0.900304344283963,loss -> amp -> thermal
0.4749498997995992,worst,0.9543043442839629,loss -> thermal -> amp
0.48096192384769537,best,0.812159801600233,amp -> thermal -> loss
0.48096192384769537,median,0.8960398016002331,loss -> amp -> thermal
0.48096192384769537,worst,0.950039801600233,loss -> thermal -> amp
0.48697394789579157,best,0.8079462289357665,amp -> thermal -> loss
0.48697394789579157,median,0.8918262289357665,loss -> amp -> thermal
0.48697394789579157,worst,0.9458262289357664,loss -> thermal -> amp
0.49298597194388777,best,0.8037830170944414,amp -> thermal -> loss
0.49298597194388777,median,0.8876630170944413,loss -> amp -> thermal
0.49298597194388777,worst,0.9416630170944413,loss -> thermal -> amp
0.49899799599198397,best,0.7996695641612775,amp -> thermal -> loss
0.49899799599198397,median,0.8835495641612775,loss -> amp -> thermal
0.49899799599198397,worst,0.9375495641612774,loss -> thermal -> amp
0.5050100200400801,best,0.7956052754154113,amp -> thermal -> loss
0.5050100200400801,median,0.8794852754154112,loss -> amp -> thermal
0.5050100200400801,worst,0.9334852754154113,loss -> thermal -> amp
0.5110220440881763,best,0.7915895632441114,amp -> thermal -> loss
0.5110220440881763,median,0.8754695632441114,loss -> amp -> thermal
0.5110220440881763,worst,0.9294695632441115,loss -> thermal -> amp
0.5170340681362725,best,0.7876218470578226,amp -> thermal -> loss
0.5170340681362725,median,0.8715018470578226,loss -> amp -> thermal
0.5170340681362725,worst,0.9255018470578225,loss -> thermal -> amp
0.5230460921843687,best,0.7837015532062233,amp -> thermal -> loss
0.5230460921843687,median,0.8675815532062233,loss -> amp -> thermal
0.5230460921843687,worst,0.9215815532062233,loss -> thermal -> amp
0.5290581162324649,best,0.7798281148952887,amp -> thermal -> loss
0.5290581162324649,median,0.8637081148952886,loss -> amp -> thermal
0.5290581162324649,worst,0.9177081148952886,loss -> thermal -> amp
0.5350701402805611,best,0.776000972105343,amp -> thermal -> loss
0.5350701402805611,median,0.8598809721053431,loss -> amp -> thermal
0.5350701402805611,worst,0.913880972105343,loss -> thermal -> amp
0.5410821643286573,best,0.7722195715100929,amp -> thermal -> loss
0.5410821643286573,median,0.8560995715100931,loss -> amp -> thermal
0.5410821643286573,worst,0.910099571510093,loss -> thermal -> amp
0.5470941883767535,best,0.7684833663966274,amp -> thermal -> loss
0.5470941883767535,median,0.8523633663966275,loss -> amp -> thermal
0.5470941883767535,worst,0.9063633663966274,loss -> thermal -> amp
0.5531062124248497,best,0.7647918165863745,amp -> thermal -> loss
0.5531062124248497,median,0.8486718165863746,loss -> amp -> thermal
0.5531062124248497,worst,0.9026718165863744,loss -> thermal -> amp
0.5591182364729459,best,0.7611443883570022,amp -> thermal -> loss
0.5591182364729459,median,0.8450243883570022,loss -> amp -> thermal
0.5591182364729459,worst,0.8990243883570023,loss -> thermal -> amp
0.5651302605210421,best,0.7575405543652541,amp -> thermal -> loss
0.5651302605210421,median,0.8414205543652541,loss -> amp -> thermal
0.5651302605210421,worst,0.895420554365254,loss -> thermal -> amp
0.5711422845691383,best,0.753979793570705,amp -> thermal -> loss
0.5711422845691383,median,0.8378597935707051,loss -> amp -> thermal
0.5711422845691383,worst,0.891859793570705,loss -> thermal -> amp
0.5771543086172345,best,0.7504615911604309,amp -> thermal -> loss
0.5771543086172345,median,0.8343415911604308,loss -> amp -> thermal
0.5771543086172345,worst,0.8883415911604308,loss -> thermal -> amp
0.5831663326653307,best,0.7469854384745753,amp -> thermal -> loss
0.5831663326653307,median,0.8308654384745754,loss -> amp -> thermal
0.5831663326653307,worst,0.8848654384745754,loss -> thermal -> amp
0.5891783567134269,best,0.7435508329328103,amp -> thermal -> loss
0.5891783567134269,median,0.8274308329328103,loss -> amp -> thermal
0.5891783567134269,worst,0.8814308329328102,loss -> thermal -> amp
0.5951903807615231,best,0.740157277961671,amp -> thermal -> loss
0.5951903807615231,median,0.824037277961671,loss -> amp -> thermal
0.5951903807615231,worst,0.878037277961671,loss -> thermal -> amp
0.6012024048096193,best,0.7368042829227631,amp -> thermal -> loss
0.6012024048096193,median,0.8206842829227631,loss -> amp -> thermal
0.6012024048096193,worst,0.8746842829227629,loss -> thermal -> amp
